,ApplicationDate,CreditAmount,PersonType,ApprovalStatus,ProductType,City,Revenue,Age,CreditScore,Prob_DefaultStatus
180,288,805,PJ,DENIED,Emprestimo,Smallville,362802.0,3.0,480,0.0
181,483,28840,PJ,DENIED,Emprestimo,Springfield,479389.0,1.0,225,0.0
182,337,3488,PJ,DENIED,CartaoCredito,Night City,1268100.0,3.0,659,0.0
183,281,7470,PJ,DENIED,CartaoCredito,Night City,503274.0,22.0,647,0.0
185,309,4101,PJ,DENIED,Emprestimo,Springfield,1201093.0,2.0,553,0.0
186,570,2627,PJ,DENIED,CartaoCredito,Springfield,1593654.0,5.0,211,0.0
187,373,849,PJ,DENIED,CartaoCredito,Springfield,61841.0,2.0,550,0.0
188,306,550,PJ,DENIED,Emprestimo,Springfield,136835.0,0.0,340,0.0
189,366,6405,PJ,DENIED,CartaoCredito,Springfield,502676.0,0.0,464,0.0
190,237,1165,PJ,DENIED,CartaoCredito,Smallville,171034.0,10.0,204,0.0
191,243,1001,PJ,DENIED,CartaoCredito,Night City,123986.0,23.0,367,0.0
192,470,2865,PJ,DENIED,Emprestimo,Smallville,81080.0,10.0,490,0.0
193,372,14826,PJ,DENIED,Emprestimo,Springfield,90583.0,4.0,379,0.0
195,293,3342,PJ,DENIED,CartaoCredito,Night City,702182.0,37.0,561,0.0
196,270,8044,PJ,DENIED,CartaoCredito,Night City,1067.0,16.0,378,0.0
197,566,1491,PJ,DENIED,CartaoCredito,Smallville,335010.0,4.0,431,0.0
198,326,9007,PJ,DENIED,Emprestimo,Smallville,28196.0,2.0,425,0.0
199,298,1601,PJ,DENIED,CartaoCredito,Springfield,342474.0,2.0,242,0.0
200,327,8852,PJ,DENIED,Emprestimo,Smallville,703883.0,30.0,330,0.0
201,547,11514,PJ,DENIED,CartaoCredito,Night City,46545.0,10.0,206,0.0
202,242,5469,PJ,DENIED,Emprestimo,Smallville,199563.0,16.0,353,0.0
203,246,964,PJ,DENIED,Emprestimo,Night City,167703.0,2.0,209,0.0
204,433,909,PJ,DENIED,Emprestimo,Springfield,466653.0,3.0,400,0.0
205,513,2198,PJ,DENIED,CartaoCredito,Night City,237086.0,9.0,622,0.0
206,589,6348,PJ,DENIED,Emprestimo,Smallville,597177.0,5.0,260,0.0
207,265,3232,PJ,DENIED,CartaoCredito,Night City,433569.0,22.0,297,0.0
208,354,6513,PJ,DENIED,Emprestimo,Smallville,123841.0,16.0,604,0.0
209,562,5932,PJ,DENIED,CartaoCredito,Smallville,1961473.0,9.0,337,0.0
211,252,2239,PJ,DENIED,Emprestimo,Springfield,8482.0,13.0,217,0.0
212,287,2953,PJ,DENIED,CartaoCredito,Smallville,486015.0,3.0,357,0.0
213,349,3903,PJ,DENIED,Emprestimo,Smallville,475775.0,1.0,688,0.0
214,400,10316,PJ,DENIED,CartaoCredito,Smallville,811906.0,2.0,498,0.0
215,529,5893,PJ,DENIED,CartaoCredito,Night City,666452.0,2.0,397,0.0
216,290,1436,PJ,DENIED,CartaoCredito,Night City,789216.0,7.0,263,0.0
217,433,3361,PJ,DENIED,CartaoCredito,Night City,453604.0,9.0,553,0.0
218,365,21978,PJ,DENIED,CartaoCredito,Night City,528578.0,22.0,274,0.0
219,591,201,PJ,DENIED,Emprestimo,Springfield,1261240.0,9.0,342,0.0
220,510,12968,PJ,DENIED,CartaoCredito,Smallville,240936.0,6.0,295,0.0
221,574,12354,PJ,DENIED,Emprestimo,Springfield,758593.0,4.0,538,0.0
222,597,9904,PJ,DENIED,CartaoCredito,Springfield,140073.0,1.0,484,0.0
223,286,9307,PJ,DENIED,Emprestimo,Smallville,111366.0,5.0,323,0.0
224,507,189,PJ,DENIED,CartaoCredito,Springfield,27510.0,2.0,681,0.0
225,579,1894,PJ,DENIED,Emprestimo,Smallville,11142.0,7.0,387,0.0
226,407,7820,PJ,DENIED,CartaoCredito,Smallville,52515.0,0.0,363,0.0
227,254,10205,PJ,DENIED,CartaoCredito,Smallville,392530.0,3.0,412,0.0
228,409,13990,PJ,DENIED,Emprestimo,Smallville,88014.0,13.0,682,0.0
229,432,8017,PJ,DENIED,Emprestimo,Springfield,411458.0,16.0,488,0.0
230,248,30911,PJ,DENIED,CartaoCredito,Smallville,90583.0,5.0,529,0.0
231,576,2159,PJ,DENIED,CartaoCredito,Smallville,91942.0,5.0,646,0.0
232,424,7288,PJ,DENIED,CartaoCredito,Night City,1197504.0,8.0,678,0.0
233,569,7311,PJ,DENIED,CartaoCredito,Springfield,46922.0,38.0,278,0.0
234,377,2704,PJ,DENIED,CartaoCredito,Smallville,28083.0,33.0,427,0.0
235,433,1330,PJ,DENIED,CartaoCredito,Springfield,987635.0,8.0,286,0.0
236,336,1231,PJ,DENIED,Emprestimo,Springfield,497757.0,33.0,551,0.0
237,520,14975,PJ,DENIED,Emprestimo,Springfield,69013.0,5.0,412,0.0
238,433,10565,PJ,DENIED,Emprestimo,Springfield,103718.0,4.0,640,0.0
239,447,14478,PJ,DENIED,CartaoCredito,Springfield,645981.0,18.0,239,0.0
240,385,7561,PJ,DENIED,CartaoCredito,Night City,375501.0,13.0,471,0.0
241,554,17385,PJ,DENIED,CartaoCredito,Smallville,400460.0,3.0,298,0.0
243,291,4339,PJ,DENIED,Emprestimo,Springfield,98655.0,12.0,369,0.0
244,291,10980,PJ,DENIED,CartaoCredito,Smallville,534698.0,14.0,565,0.0
245,375,8291,PJ,DENIED,CartaoCredito,Night City,769766.0,14.0,568,0.0
246,533,1504,PJ,DENIED,CartaoCredito,Night City,1283240.0,24.0,302,0.0
247,486,3425,PJ,DENIED,CartaoCredito,Springfield,998839.0,6.0,435,0.0
248,596,1243,PJ,DENIED,Emprestimo,Smallville,564872.0,7.0,623,0.0
249,587,4487,PJ,DENIED,CartaoCredito,Smallville,279723.0,1.0,254,0.0
250,464,1553,PJ,DENIED,CartaoCredito,Springfield,91199.0,7.0,528,0.0
251,374,9070,PJ,DENIED,Emprestimo,Smallville,210089.0,2.0,432,0.0
252,438,863,PJ,DENIED,CartaoCredito,Springfield,300021.0,32.0,562,0.0
253,499,10638,PJ,DENIED,CartaoCredito,Smallville,147679.0,1.0,445,0.0
254,505,4996,PJ,DENIED,CartaoCredito,Smallville,905677.0,40.0,230,0.0
255,596,5026,PJ,DENIED,CartaoCredito,Springfield,288419.0,36.0,301,0.0
257,389,1790,PJ,DENIED,CartaoCredito,Smallville,1910.0,25.0,631,0.0
258,390,6158,PJ,DENIED,Emprestimo,Night City,679696.0,3.0,292,0.0
259,566,697,PJ,DENIED,CartaoCredito,Springfield,976959.0,5.0,468,0.0
260,486,7357,PJ,DENIED,Emprestimo,Springfield,1715693.0,51.0,416,0.0
261,477,2952,PJ,DENIED,Emprestimo,Night City,297322.0,6.0,268,0.0
262,545,5314,PJ,DENIED,Emprestimo,Smallville,424260.0,9.0,588,0.0
263,284,158,PJ,DENIED,CartaoCredito,Night City,111202.0,6.0,607,0.0
264,438,3205,PJ,DENIED,Emprestimo,Springfield,34723.0,1.0,264,0.0
265,499,1026,PJ,DENIED,CartaoCredito,Smallville,989395.0,16.0,426,0.0
266,578,10148,PJ,DENIED,Emprestimo,Smallville,181160.0,4.0,432,0.0
267,287,12682,PJ,DENIED,CartaoCredito,Springfield,942192.0,5.0,633,0.0
268,430,3284,PJ,DENIED,Emprestimo,Smallville,132703.0,23.0,294,0.0
269,435,2813,PJ,DENIED,CartaoCredito,Smallville,680.0,22.0,691,0.0
271,561,1858,PJ,DENIED,Emprestimo,Smallville,406998.0,2.0,602,0.0
272,536,3269,PJ,DENIED,Emprestimo,Night City,90583.0,6.0,390,0.0
273,439,5937,PJ,DENIED,CartaoCredito,Smallville,499778.0,53.0,454,0.0
274,450,554,PJ,DENIED,Emprestimo,Springfield,663335.0,4.0,531,0.0
275,386,409,PJ,DENIED,Emprestimo,Smallville,598942.0,10.0,590,0.0
276,456,8062,PJ,DENIED,Emprestimo,Night City,325464.0,3.0,580,0.0
277,355,13761,PJ,DENIED,Emprestimo,Smallville,278721.0,3.0,580,0.0
278,297,267,PJ,DENIED,CartaoCredito,Smallville,976190.0,6.0,462,0.0
279,444,8091,PJ,DENIED,Emprestimo,Springfield,672601.0,30.0,521,0.0
280,533,418,PJ,DENIED,Emprestimo,Smallville,173998.0,4.0,631,0.0
282,277,869,PJ,DENIED,Emprestimo,Springfield,436064.0,4.0,501,0.0
283,476,1237,PJ,DENIED,CartaoCredito,Smallville,2563991.0,3.0,600,0.0
284,435,156,PJ,DENIED,CartaoCredito,Night City,1063611.0,4.0,391,0.0
285,486,3105,PJ,DENIED,Emprestimo,Springfield,47774.0,8.0,235,0.0
286,304,10135,PJ,DENIED,Emprestimo,Night City,285524.0,22.0,666,0.0
287,430,21970,PJ,DENIED,Emprestimo,Smallville,1298470.0,1.0,602,0.0
288,496,205,PJ,DENIED,CartaoCredito,Smallville,40094.0,4.0,376,0.0
289,307,3334,PJ,DENIED,Emprestimo,Springfield,27438.0,5.0,691,0.0
290,289,4877,PJ,DENIED,Emprestimo,Smallville,129905.0,18.0,292,0.0
291,518,17771,PJ,DENIED,CartaoCredito,Smallville,1329613.0,5.0,564,0.0
292,416,10230,PJ,DENIED,CartaoCredito,Smallville,460303.0,3.0,678,0.0
293,588,4494,PJ,DENIED,CartaoCredito,Night City,27506.0,4.0,697,0.0
294,310,1493,PJ,DENIED,Emprestimo,Night City,274741.0,12.0,580,0.0
295,548,17503,PJ,DENIED,CartaoCredito,Springfield,5247.0,1.0,300,0.0
296,570,930,PJ,DENIED,Emprestimo,Springfield,90583.0,3.0,512,0.0
297,295,2055,PJ,DENIED,Emprestimo,Smallville,225822.0,2.0,369,0.0
298,334,2818,PJ,DENIED,CartaoCredito,Smallville,206404.0,17.0,531,0.0
299,581,917,PJ,DENIED,CartaoCredito,Night City,90583.0,4.0,397,0.0
300,558,3218,PJ,DENIED,CartaoCredito,Springfield,895434.0,3.0,426,0.0
301,574,13581,PJ,DENIED,Emprestimo,Springfield,2121708.0,16.0,446,0.0
302,239,212,PJ,DENIED,CartaoCredito,Springfield,168052.0,17.0,396,0.0
303,318,752,PJ,DENIED,Emprestimo,Springfield,50415.0,19.0,219,0.0
304,535,17518,PJ,DENIED,Emprestimo,Night City,370252.0,0.0,525,0.0
306,583,10159,PJ,DENIED,Emprestimo,Smallville,442872.0,4.0,315,0.0
307,324,1215,PJ,DENIED,CartaoCredito,Smallville,1573508.0,22.0,613,0.0
308,529,5378,PJ,DENIED,CartaoCredito,Night City,880665.0,6.0,616,0.0
309,465,247,PJ,DENIED,CartaoCredito,Night City,1280673.0,4.0,227,0.0
311,273,10230,PJ,DENIED,Emprestimo,Springfield,304426.0,11.0,315,0.0
312,299,2860,PJ,DENIED,Emprestimo,Springfield,90583.0,6.0,677,0.0
313,482,640,PJ,DENIED,CartaoCredito,Night City,684198.0,54.0,343,0.0
314,487,1962,PJ,DENIED,Emprestimo,Night City,210594.0,15.0,354,0.0
315,443,2522,PJ,DENIED,CartaoCredito,Night City,972084.0,15.0,519,0.0
316,347,5945,PJ,DENIED,CartaoCredito,Smallville,557519.0,10.0,295,0.0
317,471,2460,PJ,DENIED,CartaoCredito,Springfield,738482.0,6.0,359,0.0
318,282,1356,PJ,DENIED,CartaoCredito,Springfield,27821.0,6.0,495,0.0
319,242,4625,PJ,DENIED,Emprestimo,Springfield,397599.0,20.0,361,0.0
320,366,3113,PJ,DENIED,CartaoCredito,Springfield,1674944.0,2.0,503,0.0
321,252,3262,PJ,DENIED,Emprestimo,Smallville,517599.0,11.0,273,0.0
322,547,130,PJ,DENIED,CartaoCredito,Night City,644465.0,7.0,297,0.0
323,465,4681,PJ,DENIED,Emprestimo,Springfield,354914.0,10.0,469,0.0
324,321,38,PJ,DENIED,Emprestimo,Springfield,555610.0,13.0,685,0.0
327,557,13624,PJ,DENIED,Emprestimo,Springfield,139654.0,5.0,311,0.0
328,394,1484,PJ,DENIED,CartaoCredito,Springfield,357387.0,15.0,304,0.0
329,503,1676,PJ,DENIED,CartaoCredito,Springfield,135243.0,3.0,274,0.0
330,434,650,PJ,DENIED,CartaoCredito,Night City,1040091.0,13.0,330,0.0
331,482,565,PJ,DENIED,Emprestimo,Smallville,607542.0,4.0,254,0.0
332,525,10780,PJ,DENIED,Emprestimo,Springfield,827672.0,0.0,681,0.0
333,548,1294,PJ,DENIED,Emprestimo,Night City,194859.0,1.0,210,0.0
334,589,4721,PJ,DENIED,CartaoCredito,Night City,1233079.0,22.0,276,0.0
335,398,2180,PJ,DENIED,Emprestimo,Smallville,631430.0,10.0,641,0.0
336,235,8647,PJ,DENIED,CartaoCredito,Night City,143120.0,19.0,425,0.0
337,337,2756,PJ,DENIED,Emprestimo,Smallville,272281.0,1.0,375,0.0
340,435,6676,PJ,DENIED,CartaoCredito,Springfield,417033.0,17.0,474,0.0
341,279,503,PJ,DENIED,CartaoCredito,Smallville,590264.0,4.0,255,0.0
343,553,3434,PJ,DENIED,Emprestimo,Smallville,981181.0,1.0,263,0.0
