CustomerID,ApplicationDate,CreditAmount,PersonType,ApprovalStatus,ProductType,City,PersonIncome,PersonAge,CompanyRevenue,CompanyAge,EconomicActivity,CreditScore,DefaultStatus
329589,2023-12-10,1108,PJ,DENIED,Emprestimo,Smallville,NaN,NaN,2765026,8,HealthCare,530,NaN
324283,2023-11-15,28,PJ,APPROVED,Emprestimo,Springfield,NaN,NaN,65196,8,Agriculture,878,0
464232,2023-04-25,8449,PJ,APPROVED,Emprestimo,Night City,NaN,NaN,66333,8,Marketing,612,0
451783,2023-08-27,6135,PF,DENIED,Emprestimo,Springfield,10539,68,NaN,NaN,null,431,NaN
189601,2023-05-25,6528,PJ,APPROVED,CartaoCredito,Night City,NaN,NaN,354780,29,Others,753,0
302699,2023-11-29,7376,PF,APPROVED,Emprestimo,Smallville,4709,46,NaN,NaN,null,587,1
100815,2023-06-17,385,PJ,DENIED,CartaoCredito,Springfield,NaN,NaN,630138,6,HealthCare,609,NaN
369399,2023-04-07,2219,PJ,APPROVED,CartaoCredito,Smallville,NaN,NaN,423795,20,null,849,0
36467,2023-03-31,616,PF,APPROVED,CartaoCredito,Smallville,262388,68,NaN,NaN,null,793,0
24026,2023-07-24,9943,PF,DENIED,Emprestimo,Night City,80508,50,NaN,NaN,null,560,NaN
346693,2023-04-06,4882,PJ,APPROVED,Emprestimo,Smallville,NaN,NaN,2418530,9,Marketing,552,0
119485,2023-08-01,2009,PJ,APPROVED,CartaoCredito,Night City,NaN,NaN,387532,0,Education,665,1
405311,2023-11-23,328,PF,APPROVED,Emprestimo,Smallville,6433,27,NaN,NaN,null,823,1
151723,2023-05-26,1862,PF,DENIED,CartaoCredito,Night City,143640,29,NaN,NaN,null,369,NaN
41834,2023-03-21,1967,PJ,DENIED,CartaoCredito,null,NaN,NaN,758906,27,Agriculture,355,NaN
448433,2023-12-30,6539,PJ,APPROVED,CartaoCredito,Springfield,NaN,NaN,495343,1,Marketing,866,0
122050,2023-07-05,5074,PJ,APPROVED,CartaoCredito,Night City,NaN,NaN,576224,32,null,592,0
454287,2023-02-03,10911,PJ,APPROVED,CartaoCredito,Smallville,NaN,NaN,1274583,34,Agriculture,577,0
52954,2023-01-18,3195,PF,APPROVED,CartaoCredito,Springfield,NaN,18,NaN,NaN,null,848,0
199296,2023-02-09,637,PJ,DENIED,Emprestimo,Night City,NaN,NaN,10158,1,Marketing,348,NaN
145739,2023-08-17,6246,PF,DENIED,Emprestimo,null,50450,69,NaN,NaN,null,551,NaN
237718,2023-10-16,7152,PF,DENIED,CartaoCredito,Night City,90036,49,NaN,NaN,null,525,NaN
333282,2023-06-03,4119,PJ,DENIED,Emprestimo,Night City,NaN,NaN,51655,8,Marketing,571,NaN
437315,2023-01-24,7369,PF,DENIED,CartaoCredito,Smallville,9314,21,NaN,NaN,null,696,NaN
191278,2023-05-19,3404,PJ,DENIED,Emprestimo,Smallville,NaN,NaN,446347,1,Others,591,NaN
85278,2023-12-29,3698,PF,APPROVED,CartaoCredito,Night City,8519,49,NaN,NaN,null,583,1
194082,2023-07-12,2789,PF,APPROVED,Emprestimo,Night City,102302,38,NaN,NaN,null,677,0
186265,2023-12-20,129,PJ,APPROVED,Emprestimo,Smallville,NaN,NaN,192863,1,Others,673,0
109843,2023-11-10,571,PJ,APPROVED,Emprestimo,Night City,NaN,NaN,17861,2,Marketing,571,1
351365,2023-01-05,160,PJ,APPROVED,Emprestimo,Smallville,NaN,NaN,1261618,16,Agriculture,640,0
139974,2023-09-20,5059,PJ,APPROVED,Emprestimo,Night City,NaN,NaN,106426,16,Others,784,0
367956,2023-09-06,1887,PJ,DENIED,CartaoCredito,Smallville,NaN,NaN,692347,15,HealthCare,676,NaN
491077,2023-07-15,3552,PJ,DENIED,CartaoCredito,Springfield,NaN,NaN,NaN,1,Education,539,NaN
358376,2023-04-08,11906,PJ,APPROVED,Emprestimo,Smallville,NaN,NaN,883274,1,Marketing,891,0
339758,2023-08-22,1434,PF,APPROVED,Emprestimo,Night City,74033,58,NaN,NaN,null,670,0
37436,2023-02-10,2641,PF,APPROVED,Emprestimo,Smallville,19545,61,NaN,NaN,null,672,0
319361,2023-06-08,7044,PF,APPROVED,CartaoCredito,Springfield,38127,29,NaN,NaN,null,812,0
332912,2023-06-15,1299,PF,APPROVED,CartaoCredito,Springfield,60768,36,NaN,NaN,null,821,0
89726,2023-12-14,401,PJ,APPROVED,Emprestimo,Smallville,NaN,NaN,NaN,11,null,723,0
280044,2023-11-15,1711,PF,DENIED,CartaoCredito,Night City,5918,38,NaN,NaN,null,557,NaN
382273,2023-04-06,879,PJ,APPROVED,Emprestimo,Springfield,NaN,NaN,100868,7,Education,738,0
128352,2023-07-02,13275,PJ,DENIED,Emprestimo,Springfield,NaN,NaN,265879,18,Others,657,NaN
85670,2023-03-07,8254,PJ,DENIED,CartaoCredito,Springfield,NaN,NaN,998580,1,Agriculture,547,NaN
242358,2023-11-29,5017,PF,DENIED,Emprestimo,Night City,26949,54,NaN,NaN,null,330,NaN
198944,2023-11-13,10258,PF,APPROVED,Emprestimo,Springfield,18117,58,NaN,NaN,null,790,0
141531,2023-04-19,8140,PJ,DENIED,CartaoCredito,Night City,NaN,NaN,44014,2,Marketing,613,NaN
485172,2023-08-21,1032,PF,APPROVED,CartaoCredito,Smallville,107902,29,NaN,NaN,null,539,1
335545,2023-08-10,11154,PJ,DENIED,CartaoCredito,Smallville,NaN,NaN,653107,NaN,null,677,NaN
360796,2023-02-25,3875,PJ,APPROVED,CartaoCredito,Smallville,NaN,NaN,33751,15,Others,517,0
292003,2023-10-05,8237,PJ,APPROVED,Emprestimo,Night City,NaN,NaN,114528,2,HealthCare,788,1
115142,2023-07-16,11321,PF,APPROVED,CartaoCredito,Springfield,3392,65,NaN,NaN,null,778,0
358936,2023-10-11,1914,PJ,DENIED,CartaoCredito,Night City,NaN,NaN,89575,4,Marketing,555,NaN
170018,2023-07-13,583,PJ,DENIED,CartaoCredito,Night City,NaN,NaN,550911,17,Education,249,NaN
441898,2023-01-01,1293,PF,APPROVED,Emprestimo,Smallville,22647,22,NaN,NaN,null,621,0
402818,2023-04-28,2785,PJ,DENIED,Emprestimo,Smallville,NaN,NaN,367695,5,Marketing,422,NaN
406848,2023-01-08,8519,PJ,APPROVED,Emprestimo,Springfield,NaN,NaN,112942,16,Agriculture,598,1
29328,2023-12-05,9857,PJ,APPROVED,CartaoCredito,Night City,NaN,NaN,270033,22,Education,823,0
120088,2023-11-16,35,PJ,APPROVED,Emprestimo,Night City,NaN,NaN,NaN,4,null,652,1
430862,2023-10-30,3574,PF,DENIED,CartaoCredito,null,40205,65,NaN,NaN,null,366,NaN
16830,2023-04-22,2701,PF,DENIED,CartaoCredito,Springfield,44099,36,NaN,NaN,null,410,NaN
422076,2023-01-22,1256,PF,APPROVED,Emprestimo,Night City,4155,30,NaN,NaN,null,852,1
165389,2023-11-16,638,PF,APPROVED,CartaoCredito,Springfield,62947,21,NaN,NaN,null,521,1
210326,2023-12-11,2060,PF,DENIED,Emprestimo,Night City,44365,45,NaN,NaN,null,316,NaN
140374,2023-02-01,14316,PF,DENIED,CartaoCredito,Night City,3085,46,NaN,NaN,null,475,NaN
34702,2023-06-26,1952,PF,DENIED,Emprestimo,Springfield,11559,34,NaN,NaN,null,402,NaN
110616,2023-01-26,3657,PF,APPROVED,Emprestimo,null,11779,65,NaN,NaN,null,816,0
478747,2023-10-04,6070,PF,DENIED,Emprestimo,Springfield,9875,69,NaN,NaN,null,611,NaN
494357,2023-10-06,2260,PJ,APPROVED,CartaoCredito,Smallville,NaN,NaN,1102851,1,Marketing,741,0
297366,2023-02-16,17839,PF,DENIED,Emprestimo,Smallville,132361,31,NaN,NaN,null,559,NaN
459470,2023-06-23,16410,PF,DENIED,CartaoCredito,Night City,72480,53,NaN,NaN,null,528,NaN
376394,2023-07-20,1450,PJ,DENIED,CartaoCredito,Night City,NaN,NaN,184932,3,Agriculture,358,NaN
164982,2023-04-07,3438,PJ,DENIED,Emprestimo,Night City,NaN,NaN,1401897,14,HealthCare,435,NaN
111478,2023-11-14,1790,PJ,APPROVED,Emprestimo,Smallville,NaN,NaN,293314,0,Others,786,0
343639,2023-06-04,1676,PF,APPROVED,CartaoCredito,Smallville,46471,23,NaN,NaN,null,634,1
261741,2023-03-19,188,PF,APPROVED,Emprestimo,Smallville,22754,31,NaN,NaN,null,567,0
207426,2023-07-16,4702,PJ,APPROVED,Emprestimo,Springfield,NaN,NaN,338944,6,HealthCare,833,0
463829,2023-09-23,3493,PJ,APPROVED,Emprestimo,null,NaN,NaN,529671,2,Marketing,526,0
479487,2023-03-15,264,PF,DENIED,CartaoCredito,Night City,25273,45,NaN,NaN,null,560,NaN
337040,2023-04-24,1633,PJ,APPROVED,CartaoCredito,Night City,NaN,NaN,528912,2,HealthCare,853,0
240571,2023-12-29,11944,PF,APPROVED,Emprestimo,Springfield,1624,34,NaN,NaN,null,555,1
74906,2023-08-25,1369,PF,APPROVED,Emprestimo,Smallville,16520,NaN,NaN,NaN,null,870,0
138874,2023-06-09,783,PJ,APPROVED,CartaoCredito,Night City,NaN,NaN,53561,23,HealthCare,733,0
73207,2023-07-08,3361,PF,APPROVED,Emprestimo,Smallville,22366,64,NaN,NaN,null,833,0
129304,2023-02-14,21220,PJ,APPROVED,CartaoCredito,Night City,NaN,NaN,368345,9,Agriculture,862,0
390589,2023-03-23,1386,PJ,APPROVED,Emprestimo,Springfield,NaN,NaN,330659,28,Marketing,842,0
294319,2023-05-04,5576,PJ,DENIED,CartaoCredito,Smallville,NaN,NaN,707080,6,Marketing,688,NaN
282580,2023-08-03,7169,PF,APPROVED,Emprestimo,Night City,148937,20,NaN,NaN,null,889,0
137753,2023-03-25,1357,PF,APPROVED,Emprestimo,Smallville,19259,67,NaN,NaN,null,897,0
391651,2023-03-22,6514,PJ,DENIED,CartaoCredito,Springfield,NaN,NaN,499634,1,Agriculture,266,NaN
306492,2023-01-26,2293,PJ,DENIED,CartaoCredito,Smallville,NaN,NaN,1174050,9,Marketing,564,NaN
224623,2023-08-18,5003,PJ,APPROVED,CartaoCredito,Night City,NaN,NaN,428885,0,HealthCare,884,0
470718,2023-03-25,5019,PJ,DENIED,CartaoCredito,Springfield,NaN,NaN,NaN,0,HealthCare,513,NaN
305940,2023-11-26,3837,PF,APPROVED,CartaoCredito,Night City,8670,21,NaN,NaN,null,549,0
209401,2023-11-09,473,PJ,DENIED,Emprestimo,Night City,NaN,NaN,384036,3,Marketing,682,NaN
189791,2023-01-26,9018,PF,DENIED,Emprestimo,Night City,176262,48,NaN,NaN,null,576,NaN
114988,2023-03-28,1934,PF,APPROVED,CartaoCredito,Night City,53853,55,NaN,NaN,null,831,0
72526,2023-09-01,1032,PF,DENIED,Emprestimo,Smallville,61914,32,NaN,NaN,null,238,NaN
267139,2023-03-19,208,PF,DENIED,CartaoCredito,Smallville,28246,61,NaN,NaN,null,401,NaN
258745,2023-02-18,4469,PF,APPROVED,Emprestimo,Night City,164245,57,NaN,NaN,null,837,1
47663,2023-12-07,5659,PJ,APPROVED,CartaoCredito,Smallville,NaN,NaN,196926,14,Agriculture,630,0
396248,2023-07-27,84,PF,DENIED,CartaoCredito,Night City,14187,51,NaN,NaN,null,314,NaN
24703,2023-06-22,3588,PF,DENIED,Emprestimo,Springfield,6630,23,NaN,NaN,null,252,NaN
451466,2023-10-13,1284,PJ,DENIED,Emprestimo,Night City,NaN,NaN,642418,20,HealthCare,403,NaN
57488,2023-10-21,5181,PF,DENIED,CartaoCredito,Night City,42957,44,NaN,NaN,null,542,NaN
80133,2023-03-11,958,PF,APPROVED,Emprestimo,Smallville,NaN,57,NaN,NaN,null,563,0
328963,2023-02-05,5871,PF,APPROVED,Emprestimo,Smallville,53602,47,NaN,NaN,null,577,0
83877,2023-06-06,2445,PJ,DENIED,CartaoCredito,Springfield,NaN,NaN,85569,13,HealthCare,399,NaN
415278,2023-06-04,13802,PJ,APPROVED,Emprestimo,Smallville,NaN,NaN,102275,35,null,846,1
356769,2023-06-19,740,PJ,DENIED,CartaoCredito,Springfield,NaN,NaN,600499,4,Education,237,NaN
221334,2023-09-23,2086,PF,DENIED,Emprestimo,Night City,49223,69,NaN,NaN,null,700,NaN
312691,2023-09-03,602,PF,DENIED,CartaoCredito,Night City,41160,67,NaN,NaN,null,487,NaN
33307,2023-12-25,12931,PF,DENIED,Emprestimo,Night City,108889,33,NaN,NaN,null,501,NaN
201729,2023-02-05,10492,PF,DENIED,CartaoCredito,Smallville,3776,NaN,NaN,NaN,null,421,NaN
200079,2023-05-27,1492,PF,APPROVED,Emprestimo,Springfield,3986,39,NaN,NaN,null,701,0
312418,2023-05-04,5394,PF,APPROVED,Emprestimo,Springfield,60990,64,NaN,NaN,null,743,0
245393,2023-11-10,8497,PF,APPROVED,Emprestimo,Smallville,73543,69,NaN,NaN,null,740,0
277409,2023-04-01,4051,PJ,APPROVED,CartaoCredito,Smallville,NaN,NaN,481804,3,HealthCare,605,0
131814,2023-03-11,3771,PJ,DENIED,Emprestimo,Smallville,NaN,NaN,1238584,4,Marketing,328,NaN
290050,2023-06-13,1384,PJ,APPROVED,CartaoCredito,Smallville,NaN,NaN,1065011,4,Agriculture,696,0
451297,2023-06-03,489,PJ,DENIED,Emprestimo,Springfield,NaN,NaN,1225871,2,Agriculture,379,NaN
494106,2023-04-12,11376,PJ,APPROVED,CartaoCredito,Springfield,NaN,NaN,1082629,24,HealthCare,632,0
6020,2023-04-01,11534,PF,APPROVED,Emprestimo,Springfield,17988,69,NaN,NaN,null,597,0
356665,2023-12-03,5013,PJ,APPROVED,CartaoCredito,Springfield,NaN,NaN,338696,3,Marketing,851,0
377866,2023-06-11,2070,PJ,DENIED,CartaoCredito,Springfield,NaN,NaN,334414,10,Education,203,NaN
60059,2023-11-10,2148,PJ,APPROVED,Emprestimo,Smallville,NaN,NaN,738544,4,Marketing,864,0
357413,2023-07-20,6472,PF,DENIED,Emprestimo,Springfield,2223,58,NaN,NaN,null,554,NaN
463884,2023-01-19,11370,PF,APPROVED,Emprestimo,Springfield,20759,66,NaN,NaN,null,525,1
281528,2023-12-30,10906,PF,DENIED,CartaoCredito,Springfield,60039,51,NaN,NaN,null,438,NaN
393677,2023-11-01,7568,PJ,DENIED,CartaoCredito,Night City,NaN,NaN,947789,2,Education,619,NaN
139894,2023-12-19,5137,PJ,APPROVED,Emprestimo,Springfield,NaN,NaN,NaN,7,Others,776,0
402968,2023-12-04,439,PJ,APPROVED,Emprestimo,Smallville,NaN,NaN,534653,3,Others,799,0
336049,2023-11-05,881,PF,DENIED,Emprestimo,Smallville,5223,48,NaN,NaN,null,282,NaN
178350,2023-03-02,11441,PJ,APPROVED,CartaoCredito,Springfield,NaN,NaN,954416,24,Others,820,0
58486,2023-06-26,4662,PJ,APPROVED,Emprestimo,Night City,NaN,NaN,32752,0,Education,830,0
153879,2023-03-19,46,PF,APPROVED,CartaoCredito,Springfield,7352,62,NaN,NaN,null,609,1
227943,2023-05-26,535,PF,DENIED,Emprestimo,Smallville,61771,25,NaN,NaN,null,590,NaN
82921,2023-01-22,5446,PJ,DENIED,Emprestimo,Smallville,NaN,NaN,37918,2,Others,525,NaN
237882,2023-05-18,25,PF,DENIED,Emprestimo,Night City,54602,28,NaN,NaN,null,260,NaN
1702,2023-12-25,877,PJ,DENIED,CartaoCredito,Smallville,NaN,NaN,330387,47,Agriculture,533,NaN
378585,2023-04-07,3978,PJ,DENIED,CartaoCredito,Night City,NaN,NaN,844609,4,Marketing,574,NaN
459200,2023-10-13,5887,PJ,DENIED,CartaoCredito,Night City,NaN,NaN,155686,1,HealthCare,487,NaN
377320,2023-06-15,5277,PJ,APPROVED,Emprestimo,Night City,NaN,NaN,247655,9,HealthCare,710,0
138092,2023-06-03,1270,PF,DENIED,Emprestimo,Night City,100690,63,NaN,NaN,null,605,NaN
262452,2023-12-15,6227,PF,DENIED,Emprestimo,Springfield,86836,33,NaN,NaN,null,544,NaN
399488,2023-12-29,1354,PF,DENIED,Emprestimo,Night City,NaN,62,NaN,NaN,null,558,NaN
93666,2023-07-22,1968,PJ,DENIED,CartaoCredito,Springfield,NaN,NaN,571259,10,Agriculture,629,NaN
266172,2023-09-19,6862,PF,DENIED,CartaoCredito,Smallville,97481,30,NaN,NaN,null,414,NaN
478480,2023-02-26,5244,PJ,DENIED,Emprestimo,Smallville,NaN,NaN,NaN,41,HealthCare,458,NaN
55790,2023-04-19,9460,PJ,APPROVED,Emprestimo,Springfield,NaN,NaN,79338,NaN,Others,765,1
456403,2023-12-19,5359,PJ,APPROVED,Emprestimo,Springfield,NaN,NaN,1092382,1,HealthCare,537,0
327838,2023-07-30,4200,PF,APPROVED,CartaoCredito,Springfield,12975,19,NaN,NaN,null,793,0
156472,2023-07-17,492,PF,DENIED,Emprestimo,Night City,92250,30,NaN,NaN,null,608,NaN
441278,2023-09-30,2292,PF,DENIED,Emprestimo,Night City,28068,30,NaN,NaN,null,448,NaN
334994,2023-01-21,1541,PJ,APPROVED,CartaoCredito,Springfield,NaN,NaN,NaN,5,Education,570,0
266162,2023-08-01,1399,PJ,APPROVED,Emprestimo,Night City,NaN,NaN,670776,30,Agriculture,630,0
319276,2023-07-03,18062,PF,DENIED,Emprestimo,Springfield,4150,29,NaN,NaN,null,241,NaN
104287,2023-11-07,2497,PF,APPROVED,CartaoCredito,Springfield,62861,19,NaN,NaN,null,803,0
80132,2023-02-27,11130,PF,DENIED,CartaoCredito,Night City,8666,61,NaN,NaN,null,387,NaN
196039,2023-12-16,4987,PJ,DENIED,CartaoCredito,Night City,NaN,NaN,865973,10,Agriculture,661,NaN
399776,2023-01-30,7919,PF,DENIED,Emprestimo,Smallville,27542,56,NaN,NaN,null,509,NaN
84699,2023-03-09,3492,PJ,APPROVED,CartaoCredito,Night City,NaN,NaN,188685,18,HealthCare,763,0
282790,2023-08-05,4301,PF,DENIED,Emprestimo,Night City,13470,62,NaN,NaN,null,574,NaN
499909,2023-09-03,3391,PF,APPROVED,CartaoCredito,Springfield,99713,63,NaN,NaN,null,815,0
408225,2023-03-27,1086,PJ,APPROVED,Emprestimo,Springfield,NaN,NaN,827774,20,Agriculture,595,0
483622,2023-02-13,6409,PJ,APPROVED,CartaoCredito,null,NaN,NaN,35873,39,Marketing,611,0
278059,2023-11-21,1648,PJ,DENIED,Emprestimo,Springfield,NaN,NaN,1355823,22,Marketing,611,NaN
481556,2023-03-31,123,PF,DENIED,CartaoCredito,Night City,32076,52,NaN,NaN,null,349,NaN
300,2023-08-05,5185,PF,APPROVED,Emprestimo,null,105793,33,NaN,NaN,null,868,1
314020,2023-08-14,975,PF,DENIED,CartaoCredito,Springfield,2981,20,NaN,NaN,null,570,NaN
169952,2023-06-02,14105,PJ,DENIED,CartaoCredito,Springfield,NaN,NaN,716243,16,Others,373,NaN
256171,2023-08-01,15388,PJ,DENIED,Emprestimo,Springfield,NaN,NaN,413733,NaN,Education,635,NaN
10212,2023-07-10,12318,PF,APPROVED,Emprestimo,Springfield,45882,38,NaN,NaN,null,703,0
58651,2023-12-07,2311,PJ,DENIED,Emprestimo,Smallville,NaN,NaN,2279,4,Others,319,NaN
487116,2023-03-16,78,PJ,APPROVED,Emprestimo,Smallville,NaN,NaN,578565,NaN,Others,721,0
190307,2023-09-18,13178,PF,DENIED,Emprestimo,Night City,37574,65,NaN,NaN,null,437,NaN
460704,2023-03-28,2795,PJ,APPROVED,CartaoCredito,Springfield,NaN,NaN,1093370,18,Marketing,822,0
436033,2023-05-25,17004,PF,DENIED,CartaoCredito,Smallville,51411,40,NaN,NaN,null,642,NaN
422983,2023-09-02,16569,PF,APPROVED,Emprestimo,Smallville,58362,26,NaN,NaN,null,614,0
